agent,level,rule_count,tier,confidence,rationale_text
"1,3 butadiene",probMedium,282,EST,high,"You may have been exposed to a chemical used in rubber and plastics manufacturing, classified as a known human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
"1,3 butadiene",probLow,457,EST,high,"You may have been exposed to a chemical used in rubber and plastics manufacturing, classified as a known human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
"1,3 butadiene",possUnknown,2,EST,high,"You may have been exposed to a chemical used in rubber and plastics manufacturing, classified as a known human carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Acid mists,probMedium,32,IRR,high,"You may have been exposed to airborne droplets of acidic solutions, a respiratory and eye irritant. Your answers suggest a moderate-probability signal for this exposure. Effects from this kind of substance are generally related to how concentrated and how frequent the exposure is, rather than a long-term cumulative risk."
Acid mists,probLow,26,IRR,high,"You may have been exposed to airborne droplets of acidic solutions, a respiratory and eye irritant. Your answers suggest a low-probability or lower-level exposure. This finding is logged rather than flagged as a concern."
Acid mists,probUnknown,3,IRR,high,"You may have been exposed to airborne droplets of acidic solutions, a respiratory and eye irritant. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Acid mists,possUnknown,2,IRR,high,"You may have been exposed to airborne droplets of acidic solutions, a respiratory and eye irritant. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Acids,probUnknown,70,IRR,high,"You may have been exposed to corrosive acidic substances, an irritant to skin, eyes and airways. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Acids,possUnknown,26,IRR,high,"You may have been exposed to corrosive acidic substances, an irritant to skin, eyes and airways. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Acrylamide,probMedium,262,EST,high,"You may have been exposed to a chemical used in some manufacturing, classified as a probable human carcinogen and nerve toxin. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Acrylamide,probLow,390,EST,high,"You may have been exposed to a chemical used in some manufacturing, classified as a probable human carcinogen and nerve toxin. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Acrylamide,possUnknown,1,EST,high,"You may have been exposed to a chemical used in some manufacturing, classified as a probable human carcinogen and nerve toxin. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
