agent,level,rule_count,reason
Alcohol and CD,probMedium,2,"no classification - not a real exposure or ambiguous, needs manual review"
Alcohol and CD,probLow,2,"no classification - not a real exposure or ambiguous, needs manual review"
Context_Tag,possUnknown,13289,"no classification - not a real exposure or ambiguous, needs manual review"
Diet and CD,probMedium,2,"no classification - not a real exposure or ambiguous, needs manual review"
Diet and CD,probLow,4,"no classification - not a real exposure or ambiguous, needs manual review"
Drugs,probUnknown,42,"no classification - not a real exposure or ambiguous, needs manual review"
Drugs,possUnknown,1,"no classification - not a real exposure or ambiguous, needs manual review"
Freetext_Tag,possUnknown,1630,"no classification - not a real exposure or ambiguous, needs manual review"
Graveyard,probMedium,1,"no classification - not a real exposure or ambiguous, needs manual review"
Graveyard,probUnknown,4,"no classification - not a real exposure or ambiguous, needs manual review"
Physical activity and CD,probMedium,2,"no classification - not a real exposure or ambiguous, needs manual review"
Physical activity and CD,probLow,4,"no classification - not a real exposure or ambiguous, needs manual review"
RPE_tag,possUnknown,5073,"no classification - not a real exposure or ambiguous, needs manual review"
Vit D and CD,probMedium,2,"no classification - not a real exposure or ambiguous, needs manual review"
Vit D and CD,probLow,2,"no classification - not a real exposure or ambiguous, needs manual review"
