6-digit,Proposed mapping
111111,OFFW_Office Worker
111211,OFFW_Office Worker
111212,OFFW_Office Worker
111311,OFFW_Office Worker
111312,OFFW_Office Worker
111399,OFFW_Office Worker
121111,FARM_Farmer
121311,FARM_Farmer
121312,FARM_Farmer
121313,FARM_Farmer
121314,FARM_Farmer
121315,FARM_Farmer
121316,FARM_Farmer
121318,FARM_Farmer
121321,FARM_Farmer
121322,FARM_Farmer
121323,FARM_Farmer
121399,FARM_Farmer
121511,FARM_Farmer
121512,FARM_Farmer
121513,FARM_Farmer
121599,FARM_Farmer
121611,FARM_Farmer
121612,FARM_Farmer
121613,FARM_Farmer
121614,FARM_Farmer
121615,FARM_Farmer
121616,FARM_Farmer
121617,FARM_Farmer
121699,FARM_Farmer
121711,FARM_Farmer
121799,FARM_Farmer
131112,OFFW_Office Worker
131113,OFFW_Office Worker
131114,OFFW_Office Worker
132111,OFFW_Office Worker
132211,OFFW_Office Worker
132311,OFFW_Office Worker
132411,OFFW_Office Worker
132511,OFFW_Office Worker
133111,CONS_Construction Trades
133112,CONS_Construction Trades
133211,OFFW_Office Worker
133311,STOR_Store person
133312,STOR_Store person
133411,"IMAR_Industrial Manufacturing, Assembly and Repair"
133511,FORE_Forestry Timbermill
133513,MINE_Miners/Quarrymen
133611,OFFW_Office Worker
133612,OFFW_Office Worker
134111,TEAC_Teaching
134211,OFFW_Office Worker
134212,OFFW_Office Worker
134213,OFFW_Office Worker
134214,OFFW_Office Worker
134299,OFFW_Office Worker
134311,TEAC_Teaching
134411,OFFW_Office Worker
134412,OFFW_Office Worker
134499,OFFW_Office Worker
135111,OFFW_Office Worker
135112,OFFW_Office Worker
135199,OFFW_Office Worker
139111,MLTY_Military
139112,FIRE_Firefighter
139113,POLI_Police
139211,MLTY_Military
139911,OFFW_Office Worker
139912,OFFW_Office Worker
139913,LABC_Lab worker Chemist
139915,OFFW_Office Worker
139916,OFFW_Office Worker
139917,OFFW_Office Worker
139999,OFFW_Office Worker
141111,FOOD_Food Workers
141211,JANI_Caretaker/Janitor
141311,JANI_Caretaker/Janitor
141411,OFFW_Office Worker
141911,JANI_Caretaker/Janitor
141912,OFFW_Office Worker
141999,JANI_Caretaker/Janitor
142111,RETA_Retail Workers
142112,RETA_Retail Workers
142113,RETA_Retail Workers
142114,HAIR_Hairdresser/Beauty Therapist
142115,RETA_Retail Workers
142116,RETA_Retail Workers
149111,OFFW_Office Worker
149112,OFFW_Office Worker
149113,OFFW_Office Worker
149211,OFFW_Office Worker
149212,OFFW_Office Worker
149311,OFFW_Office Worker
149411,OFFW_Office Worker
149412,RAIL_Railway
149413,OFFW_Office Worker
149911,ANIM_Animal worker
149912,OFFW_Office Worker
149913,OFFW_Office Worker
149914,OFFW_Office Worker
149915,OFFW_Office Worker
149999,OFFW_Office Worker
211111,MUSI_Musician/Entertainer
211112,MUSI_Musician/Entertainer
211113,MUSI_Musician/Entertainer
211199,MUSI_Musician/Entertainer
211211,MUSI_Musician/Entertainer
211212,MUSI_Musician/Entertainer
211213,MUSI_Musician/Entertainer
211214,MUSI_Musician/Entertainer
211299,MUSI_Musician/Entertainer
211311,ARTF_Artist/Film Processing
211411,ARTF_Artist/Film Processing
211412,CERA_Ceramics Glass Production
211413,ARTF_Artist/Film Processing
211499,ARTF_Artist/Film Processing
212111,MUSI_Musician/Entertainer
212112,MUSI_Musician/Entertainer
212113,MUSI_Musician/Entertainer
212114,MUSI_Musician/Entertainer
212211,OFFW_Office Worker
212212,OFFW_Office Worker
212311,MUSI_Musician/Entertainer
212312,MUSI_Musician/Entertainer
212313,MUSI_Musician/Entertainer
212314,MUSI_Musician/Entertainer
212315,MUSI_Musician/Entertainer
212316,MUSI_Musician/Entertainer
212317,MUSI_Musician/Entertainer
212318,MUSI_Musician/Entertainer
212399,MUSI_Musician/Entertainer
212411,OFFW_Office Worker
212412,OFFW_Office Worker
212413,OFFW_Office Worker
212414,OFFW_Office Worker
212415,OFFW_Office Worker
212416,OFFW_Office Worker
212499,OFFW_Office Worker
221111,OFFW_Office Worker
221112,OFFW_Office Worker
221113,OFFW_Office Worker
221211,OFFW_Office Worker
221212,OFFW_Office Worker
221213,OFFW_Office Worker
221214,OFFW_Office Worker
222111,OFFW_Office Worker
222112,OFFW_Office Worker
222113,OFFW_Office Worker
222199,OFFW_Office Worker
222211,OFFW_Office Worker
222212,OFFW_Office Worker
222213,OFFW_Office Worker
222299,OFFW_Office Worker
222311,OFFW_Office Worker
222312,OFFW_Office Worker
223111,OFFW_Office Worker
223112,OFFW_Office Worker
223113,OFFW_Office Worker
223311,OFFW_Office Worker
224111,OFFW_Office Worker
224112,OFFW_Office Worker
224114,OFFW_Office Worker
224115,OFFW_Office Worker
224116,OFFW_Office Worker
224211,OFFW_Office Worker
224212,OFFW_Office Worker
224213,OFFW_Office Worker
224214,OFFW_Office Worker
224311,OFFW_Office Worker
224411,OFFW_Office Worker
224412,OFFW_Office Worker
224511,OFFW_Office Worker
224512,OFFW_Office Worker
224611,OFFW_Office Worker
224712,OFFW_Office Worker
224713,OFFW_Office Worker
224714,OFFW_Office Worker
224911,OFFW_Office Worker
224912,OFFW_Office Worker
224913,OFFW_Office Worker
224914,OFFW_Office Worker
224999,OFFW_Office Worker
225111,OFFW_Office Worker
225112,OFFW_Office Worker
225113,OFFW_Office Worker
225114,OFFW_Office Worker
225115,OFFW_Office Worker
225211,OFFW_Office Worker
225212,OFFW_Office Worker
225213,OFFW_Office Worker
225311,OFFW_Office Worker
225411,OFFW_Office Worker
225412,OFFW_Office Worker
225499,OFFW_Office Worker
231111,AIRT_Air Transport Workers
231112,AIRT_Air Transport Workers
231113,AIRT_Air Transport Workers
231114,AIRT_Air Transport Workers
231199,AIRT_Air Transport Workers
231211,SHIP_Shipping/Fishing
231212,SHIP_Shipping/Fishing
231213,SHIP_Shipping/Fishing
231214,SHIP_Shipping/Fishing
231215,SHIP_Shipping/Fishing
231299,SHIP_Shipping/Fishing
232111,OFFW_Office Worker
232112,OFFW_Office Worker
232212,OFFW_Office Worker
232214,OFFW_Office Worker
232311,ARTF_Artist/Film Processing
232312,OFFW_Office Worker
232313,ARTF_Artist/Film Processing
232411,OFFW_Office Worker
232412,OFFW_Office Worker
232413,OFFW_Office Worker
232414,OFFW_Office Worker
232511,OFFW_Office Worker
232611,OFFW_Office Worker
233111,CHEM_Chemical Pharmaceutical Manufacturing
233112,LABC_Lab worker Chemist
233213,OFFW_Office Worker
233214,OFFW_Office Worker
233215,OFFW_Office Worker
233311,OFFW_Office Worker
233411,OFFW_Office Worker
233911,OFFW_Office Worker
233912,OFFW_Office Worker
233913,HLTH_Health Workers
233914,OFFW_Office Worker
233915,OFFW_Office Worker
233916,OFFW_Office Worker
233999,OFFW_Office Worker
234111,FARM_Farmer
234113,FORE_Forestry Timbermill
234115,FARM_Farmer
234116,FARM_Farmer
234211,LABC_Lab worker Chemist
234212,FOOD_Food Workers
234213,FOOD_Food Workers
234311,OFFW_Office Worker
234312,OFFW_Office Worker
234313,OFFW_Office Worker
234314,JANI_Caretaker/Janitor
234399,LABC_Lab worker Chemist
234411,LABC_Lab worker Chemist
234412,LABC_Lab worker Chemist
234413,LABC_Lab worker Chemist
234511,LABC_Lab worker Chemist
234513,LABC_Lab worker Chemist
234514,LABC_Lab worker Chemist
234515,LABC_Lab worker Chemist
234516,LABC_Lab worker Chemist
234517,LABC_Lab worker Chemist
234521,LABC_Lab worker Chemist
234522,LABC_Lab worker Chemist
234599,LABC_Lab worker Chemist
234611,LABC_Lab worker Chemist
234612,HLTH_Health Workers
234711,HLTH_Health Workers
234911,ARTF_Artist/Film Processing
234912,LABC_Lab worker Chemist
234913,OFFW_Office Worker
234914,OFFW_Office Worker
234915,HLTH_Health Workers
234999,OFFW_Office Worker
241111,TEAC_Teaching
241213,TEAC_Teaching
241311,TEAC_Teaching
241411,TEAC_Teaching
241511,TEAC_Teaching
241512,TEAC_Teaching
241513,TEAC_Teaching
241599,TEAC_Teaching
242111,TEAC_Teaching
242112,TEAC_Teaching
249111,OFFW_Office Worker
249112,OFFW_Office Worker
249211,ARTF_Artist/Film Processing
249212,MUSI_Musician/Entertainer
249213,MUSI_Musician/Entertainer
249214,MUSI_Musician/Entertainer
249299,TEAC_Teaching
249311,TEAC_Teaching
251211,HLTH_Health Workers
251212,HLTH_Health Workers
251213,HLTH_Health Workers
251214,HLTH_Health Workers
251311,OFFW_Office Worker
251312,OFFW_Office Worker
251411,HLTH_Health Workers
251412,HLTH_Health Workers
251511,HLTH_Health Workers
251512,HLTH_Health Workers
251513,HLTH_Health Workers
251911,HLTH_Health Workers
251912,HLTH_Health Workers
251999,HLTH_Health Workers
252111,HLTH_Health Workers
252112,HLTH_Health Workers
252211,HLTH_Health Workers
252212,HLTH_Health Workers
252213,HLTH_Health Workers
252214,HLTH_Health Workers
252299,HLTH_Health Workers
252311,HLTH_Health Workers
252312,HLTH_Health Workers
252411,HLTH_Health Workers
252511,HLTH_Health Workers
252611,HLTH_Health Workers
252711,HLTH_Health Workers
252712,HLTH_Health Workers
253111,HLTH_Health Workers
253112,HLTH_Health Workers
253211,HLTH_Health Workers
253311,HLTH_Health Workers
253312,HLTH_Health Workers
253313,HLTH_Health Workers
253314,HLTH_Health Workers
253315,HLTH_Health Workers
253316,HLTH_Health Workers
253317,HLTH_Health Workers
253318,HLTH_Health Workers
253321,HLTH_Health Workers
253322,HLTH_Health Workers
253323,HLTH_Health Workers
253324,HLTH_Health Workers
253399,HLTH_Health Workers
253411,HLTH_Health Workers
253511,HLTH_Health Workers
253512,HLTH_Health Workers
253513,HLTH_Health Workers
253514,HLTH_Health Workers
253515,HLTH_Health Workers
253516,HLTH_Health Workers
253517,HLTH_Health Workers
253518,HLTH_Health Workers
253521,HLTH_Health Workers
253911,HLTH_Health Workers
253912,HLTH_Health Workers
253913,HLTH_Health Workers
253914,HLTH_Health Workers
253915,HLTH_Health Workers
253917,HLTH_Health Workers
253918,HLTH_Health Workers
253999,HLTH_Health Workers
254111,HLTH_Health Workers
254211,HLTH_Health Workers
254212,HLTH_Health Workers
254311,HLTH_Health Workers
254411,HLTH_Health Workers
254412,HLTH_Health Workers
254413,HLTH_Health Workers
254414,HLTH_Health Workers
254415,HLTH_Health Workers
254416,HLTH_Health Workers
254417,HLTH_Health Workers
254418,HLTH_Health Workers
254421,HLTH_Health Workers
254422,HLTH_Health Workers
254423,HLTH_Health Workers
254424,HLTH_Health Workers
254425,HLTH_Health Workers
254499,HLTH_Health Workers
261111,OFFW_Office Worker
261112,OFFW_Office Worker
261113,OFFW_Office Worker
261211,OFFW_Office Worker
261212,OFFW_Office Worker
261311,OFFW_Office Worker
261312,OFFW_Office Worker
261313,OFFW_Office Worker
261314,OFFW_Office Worker
261315,OFFW_Office Worker
261316,OFFW_Office Worker
261317,OFFW_Office Worker
261399,OFFW_Office Worker
262111,OFFW_Office Worker
262113,OFFW_Office Worker
262114,OFFW_Office Worker
262115,OFFW_Office Worker
262116,OFFW_Office Worker
262117,OFFW_Office Worker
262118,OFFW_Office Worker
